HS18_KEY	HS18_URL	kpid	productName	productColor	productModel	productModelID	productPrice
31223189	http://www.homeshop18.com/samsung-galaxy-duos-2-s7582-android-mobile-phone-white/mobiles/mobile-phones/product:31223189/cid:3027	mobile_1	Samsung Galaxy S Duos 2 S7582 Dual SIM Android Mobile Phone - White	White	Galaxy S Duos 2	S7582	9599
31223187	http://www.homeshop18.com/samsung-galaxy-grand-2-g7102-android-mobile-phone-white/mobiles/mobile-phones/product:31223187/cid:3027	mobile_2	Samsung Galaxy Grand 2 G7102 Dual SIM Android Mobile Phone - White	White	Galaxy	Grand 2	20699
30306986	http://www.homeshop18.com/samsung-galaxy-duos-s7562-mobile-phone/mobiles/mobile-phones/product:30306986/cid:3027	mobile_3	Samsung Galaxy S Duos S7562 Mobile Phone	NA	Galaxy S Duos	S7562	9889
30712439	http://www.homeshop18.com/samsung-galaxy-core-i8262-dual-sim-android-mobile-phone-white/mobiles/mobile-phones/product:30712439/cid:3027	mobile_5	Samsung Galaxy Core i8262 Dual SIM Android Mobile Phone - White	NA	Galaxy Core	GT-i8262	12279
31444491	http://www.homeshop18.com/samsung-galaxy-s4-i9500-16-gb-android-mobile-phone-black-mist/mobiles/mobile-phones/product:31444491/cid:3027	mobile_7	Samsung Galaxy S4 i9500 16 GB Android Mobile Phone - Black Mist	Black Mist	Galaxy S4	i9500	30999
30990627	http://www.homeshop18.com/samsung-galaxy-trend-gt-s7392-dual-sim-mobile-phone-midnight-black/mobiles/mobile-phones/product:30990627/cid:3027	mobile_8	Samsung Galaxy Trend GT-S7392 Dual SIM Android Mobile Phone - Midnight Black	Midnight Black	Galaxy Trend	GT-S7392	7599
31013377	http://www.homeshop18.com/samsung-galaxy-star-pro-s7262-android-mobile-phone-white/mobiles/mobile-phones/product:31013377/cid:3027	mobile_9	Samsung Galaxy Star Pro S7262 Dual SIM Android Mobile Phone - White	White	Galaxy Star Pro	S7262	5869
30535377	http://www.homeshop18.com/samsung-galaxy-s3-i9300-iii-16gb-blue/mobiles/mobile-phones/product:30535377/cid:3027	mobile_11	Samsung Galaxy S3 I9300 16GB Android Mobile Phone - Blue	NA	Galaxy SIII	i9300	21399
31010651	http://www.homeshop18.com/sony-xperia-c-c2305-android-mobile-phone-black/mobiles/mobile-phones/product:31010651/cid:3027	mobile_12	Sony Xperia C C2305 Dual SIM Android Mobile Phone - Black	Black	NA	Xperia C	17799
30597103	http://www.homeshop18.com/micromax-a111-canvas-doodle-mobile-phone/mobiles/mobile-phones/product:30597103/cid:3027	mobile_13	Micromax Canvas Doodle A111 Dual SIM Android Mobile Phone - White	NA	Canvas Doodle	A111	10549
30793771	http://www.homeshop18.com/samsung-galaxy-grand-quattro-win-duos-i8552-dual-sim-android-mobile-phone-titan-grey/mobiles/mobile-phones/product:30793771/cid:3027	mobile_14	Samsung Galaxy Grand Quattro (Win Duos) I8552 Dual SIM Android Mobile Phone - Titan Grey	NA	Galaxy Grand Quattro	I8552	15299
30522209	http://www.homeshop18.com/samsung-galaxy-grand-duos-i9082-mobile-phone/mobiles/mobile-phones/product:30522209/cid:3027	mobile_18	Samsung Galaxy Grand Duos I9082 Mobile Phone	NA	Galaxy Grand Duos	I9082	17599
31013349	http://www.homeshop18.com/sony-xperia-m-c2004-dual-sim-mobile-phone-black/mobiles/mobile-phones/product:31013349/cid:3027	mobile_19	Sony Xperia M C2004 Dual SIM Android Mobile Phone - Black	Black	C2004	Xperia M	12299
30860963	http://www.homeshop18.com/nokia-lumia-520-windows-mobile-phone-red/mobiles/mobile-phones/product:30860963/cid:3027	mobile_20	Nokia Lumia 520 Windows Mobile Phone - Red	Red	Lumia	520	8889
30551083	http://www.homeshop18.com/samsung-galaxy-note-ii-n7100-mobile-phone-titanium-grey-exchange-offer/mobiles/mobile-phones/product:30551083/cid:3027	mobile_21	Samsung Galaxy Note II N7100 Mobile Phone - Titanium Grey (Exchange Offer)	NA	Galaxy Note II	N7100	32500
30935117	http://www.homeshop18.com/samsung-galaxy-note-3-n9000-mobile-phone-jet-black/mobiles/mobile-phones/product:30935117/cid:3027	mobile_22	Samsung Galaxy Note 3 N9000 Mobile Phone - Jet Black	Jet Black	Galaxy Note 3	N9000	46799
31229933	http://www.homeshop18.com/micromax-canvas-fun-a63-dual-sim-mobile-phone-blue/mobiles/mobile-phones/product:31229933/cid:3027	mobile_23	Micromax Canvas Fun A63 Dual SIM Android Mobile Phone - Blue	Blue	Canvas Fun	A63	5699
30793765	http://www.homeshop18.com/samsung-galaxy-s4-mini-i9192-mobile-phone-black-mist/mobiles/mobile-phones/product:30793765/cid:3027	mobile_24	Samsung Galaxy S4 Mini I9192 Dual SIM Android Mobile Phone - Black Mist	Black Mist	Galaxy S4 Mini	I9192	18899
31555371	http://www.homeshop18.com/nokia-lumia-525-windows-phone8-black/mobiles/mobile-phones/product:31555371/cid:3027	mobile_25	Nokia Lumia 525 Windows Phone8 - Black	Black	NA	Lumia 525	9999sh18_
