IN_KEY	IN_URL	kpid	productName	productColor	productModel	productModelID	productPrice
http://www.infibeam.com/Mobiles/samsung-galaxy-s-duos-2/P-mobi-96190457931-cat-z.html	http://www.infibeam.com/Mobiles/samsung-galaxy-s-duos-2/P-mobi-96190457931-cat-z.html	mobile_1	Samsung Galaxy S duos 2 (Black)	Black	NA	NA	"9,999"
http://www.infibeam.com/Mobiles/samsung-galaxy-grand-2/P-mobi-62674603426-cat-z.html	http://www.infibeam.com/Mobiles/samsung-galaxy-grand-2/P-mobi-62674603426-cat-z.html	mobile_2	Samsung Galaxy Grand 2 (Black)	Black	NA	NA	"23,137"
http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-S-Duos-Smartphone/P-E-M-Samsung-Galxy-S-Duos.html?id=White	http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-S-Duos-Smartphone/P-E-M-Samsung-Galxy-S-Duos.html?id=White	mobile_3	Samsung Galaxy S Duos S7562 (White)	White	NA	NA	"9,999"
http://www.infibeam.com/Mobiles/samsung-galaxy-grand-neo/P-mobi-41920719924-cat-z.html	http://www.infibeam.com/Mobiles/samsung-galaxy-grand-neo/P-mobi-41920719924-cat-z.html	mobile_4	Samsung Galaxy Grand Neo (White)	White	NA	NA	"15,199"
http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-Core-Android-Smartphone/P-E-M-Samsung-Galaxy-Core.html?id=White	http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-Core-Android-Smartphone/P-E-M-Samsung-Galaxy-Core.html?id=White	mobile_5	Samsung Galaxy Core GT-I8262 (White)	White	NA	NA	"11,599"
http://www.infibeam.com/Mobiles/nokia-x-dual-sim/P-mobi-37925406573-cat-z.html	http://www.infibeam.com/Mobiles/nokia-x-dual-sim/P-mobi-37925406573-cat-z.html	mobile_6	Nokia X Dual Sim (Cyan)	Cyan	NA	NA	"7,500"
http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-S4-Android-Smartphone/P-E-M-Samsung-Galaxy-S4.html	http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-S4-Android-Smartphone/P-E-M-Samsung-Galaxy-S4.html	mobile_7	Samsung Galaxy S4 I9500 (White)	White	NA	NA	"41,500"
http://www.infibeam.com/Mobiles/samsung-galaxy-trend-s7392/P-mobi-26633354702-cat-z.html	http://www.infibeam.com/Mobiles/samsung-galaxy-trend-s7392/P-mobi-26633354702-cat-z.html	mobile_8	Samsung Galaxy Trend S7392 (Black)	Black	NA	NA	"8,489"
http://www.infibeam.com/Mobiles/samsung-galaxy-star-pro/P-mobi-48026605249-cat-z.html	http://www.infibeam.com/Mobiles/samsung-galaxy-star-pro/P-mobi-48026605249-cat-z.html	mobile_9	Samsung Galaxy Star Pro S7262(white)	white	NA	NA	"7,734"
http://www.infibeam.com/Mobiles/samsung-galaxy-s5/P-mobi-5835787050-cat-z.html	http://www.infibeam.com/Mobiles/samsung-galaxy-s5/P-mobi-5835787050-cat-z.html	mobile_10	Samsung Galaxy S5 (White)	White	NA	NA	"37,499"
http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-S-III-Android/P-E-M-Samsung-Galaxy-S-III.html?id=Blue	http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-S-III-Android/P-E-M-Samsung-Galaxy-S-III.html?id=Blue	mobile_11	Samsung Galaxy S3 I9300 (Blue)	Blue	NA	NA	"19,299"
http://www.infibeam.com/Mobiles/sony-xperia-c/P-mobi-43003440362-cat-z.html	http://www.infibeam.com/Mobiles/sony-xperia-c/P-mobi-43003440362-cat-z.html	mobile_12	Sony Xperia C (Black)	Black	NA	NA	"16,149"
http://www.infibeam.com/Mobiles/micromax-a111-canvas-doodle/P-mobi-90024497087-cat-z.html	http://www.infibeam.com/Mobiles/micromax-a111-canvas-doodle/P-mobi-90024497087-cat-z.html	mobile_13	Micromax A111 Canvas Doodle (White)	White	NA	NA	"10,409"
http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-Win-Android-Smartphone/P-E-M-Samsung-Galaxy-Win.html	http://www.infibeam.com/Mobiles/i-Samsung-Galaxy-Win-Android-Smartphone/P-E-M-Samsung-Galaxy-Win.html	mobile_14	Samsung Galaxy Win Duos I8552 (Grand Quattro) (Grey)	Grey	NA	NA	"16,611"
http://www.infibeam.com/Mobiles/apple-iphone-5s/P-mobi-39045215675-cat-z.html	http://www.infibeam.com/Mobiles/apple-iphone-5s/P-mobi-39045215675-cat-z.html	mobile_17	Apple iPhone 5S (Gold) (32 GB)	32 GB	NA	NA	"62,500"
http://www.infibeam.com/Mobiles/samsung-galaxy-grand-2-flipcover/P-mobi-2187806501-cat-z.html	http://www.infibeam.com/Mobiles/samsung-galaxy-grand-2-flipcover/P-mobi-2187806501-cat-z.html	mobile_18	Samsung Galaxy Grand I9082 + 2 Flipcover (Wine)	Wine	NA	NA	250
http://www.infibeam.com/Mobiles/sony-xperia-m-dual-sim/P-mobi-66341835025-cat-z.html	http://www.infibeam.com/Mobiles/sony-xperia-m-dual-sim/P-mobi-66341835025-cat-z.html	mobile_19	Sony Xperia M Dual Sim (Black)	Black	NA	NA	"11,890"
http://www.infibeam.com/Mobiles/i-Nokia-Lumia-520-Windows-Smartphone/P-E-M-Nokia-Lumia-520.html?id=Red	http://www.infibeam.com/Mobiles/i-Nokia-Lumia-520-Windows-Smartphone/P-E-M-Nokia-Lumia-520.html?id=Red	mobile_20	Nokia Lumia 520 (Red)	Red	NA	NA	"9,585"
