laptop,flipkart,amazon,ebay,snapdeal,homeshop18,infibeam
Dell Inspiron 15 3521 Laptop,http://www.flipkart.com/dell-inspiron-15-3521-laptop-3rd-gen-ci3-4gb-500gb-win8/p/itmdhz2t5xh8dghy?pid=COMDHZ2R72BHZH9X,NA,http://www.ebay.in/itm/Dell-Inspiron-3521-Core-i3-3rd-4GB-500GB-15-6-LED-Laptop-Win8-Supt-/261486129982,NA,NA,NA
Dell Inspiron 15 3521 Laptop,http://www.flipkart.com/dell-inspiron-15-3521-laptop-3rd-gen-pdc-4gb-500gb-ubuntu/p/itmdhz2rbh73qtvg?pid=COMDHZ2RBH73QTVG,NA,http://www.ebay.in/itm/DELL-INSPIRON-15-3521-INTEL-P-DC-3RD-GEN-4G-500GB-15-6-UBUNTU-WIF-CR-CAM-BT-CCW-/151229942397,NA,NA,NA
HP Pavilion 1000-1B02AU Laptop,NA,NA,http://www.ebay.in/itm/HP-Pavilion-1000-1B02AU-Laptop-AMD-Brazo-2GB-320GB-DOS-/231193658976,NA,NA,NA
Lenovo Essential G500 59-380860 Laptop,http://www.flipkart.com/lenovo-essential-g500-59-380860-laptop-3rd-gen-ci3-2gb-500gb-dos/p/itmdmkfbxszjtymk?pid=COMDMKF9ZUTHZAGH,NA,http://www.ebay.in/itm/Lenovo-Essential-G500-59-380860-/231238175437,NA,NA,http://www.infibeam.com/Computers_Accessories/lenovo-g500-59-380860-notebook/P-coac-79581411696-cat-z.html
Lenovo Essential G505 59-379446 Laptop,http://www.flipkart.com/lenovo-essential-g505-59-379446-laptop-apu-dual-core-2gb-500gb-dos/p/itmdmzxgf7n3vy3m?pid=COMDMZXETEXSYAUM,NA,http://www.ebay.in/itm/Lenovo-Essential-G505-59-379446-Laptop-APU-Dual-Core-2GB-500GB-DOS-/181392831365,NA,NA,http://www.infibeam.com/Computers_Accessories/lenovo-g505-59-379446-notebook/P-coac-91021076196-cat-z.html
Dell Inspiron 14z 5423 Ultrabook,NA,NA,http://www.ebay.in/itm/Dell-14Z-5423-i3-3217U-4GB-500GB-14-Display-Window8-Inspiron-/231199107654,NA,NA,NA
HP Pavilion 15-B002TX Laptop,http://www.flipkart.com/hp-pavilion-15-b002tx-sleekbook-3rd-gen-ci3-2gb-500gb-win8-1gb-graph/p/itmdesfqw3qaabgk?pid=COMDESFPJMY8U5GZ,http://www.amazon.in/dp/B00AF8551G,NA,NA,NA,NA
Dell Inspiron 15 3521 Laptop,http://www.flipkart.com/dell-inspiron-15-3521-laptop-3rd-gen-ci3-4gb-500gb-ubuntu/p/itmdhz2tanx2t3gq?pid=COMDHZ2RMEGRZ8Q7,http://www.amazon.in/dp/B00D796CBW,http://www.ebay.in/itm/Inspiron-15-3521-Laptop-3rd-Gen-Intel-Core-i3-3217U-Ubuntu-4GB-500GB-Intel-HD-/151298844012,NA,NA,NA
HP Pavilion TouchSmart 11-e006AU Laptop,NA,NA,http://www.ebay.in/itm/HP-Pav-TouchSmart-11-e006AU-Laptop-APU-Dual-Core-A4-4GB-500GB-Win8-Touh-/151306581814,NA,NA,NA
Sony VAIO Fit 14E F14212SN Laptop,http://www.flipkart.com/sony-vaio-fit-14e-f14212sn-b-laptop-3rd-gen-ci3-2gb-500gb-win8/p/itmdm848vaghhgsw?pid=COMDM842PVRH9QRU,http://www.amazon.in/dp/B00DJ65WI2,http://www.ebay.in/itm/Sony-VAIO-Fit-14E-F14212SN-B-3rd-Gen-Ci3-2GB-500GB-Win8-BLACK-/251385083166,NA,NA,NA
